No;Kode Wilayah;Kabupaten_Kota;Provinsi;Tahun;Penduduk_Miskin (%);Konsumsi_Protein (Gram);Konsumsi_Energi (Gram);Konsumsi_Lemak (Gram);Konsumsi_Sayur_dan_Buah (Gram);Skor Konsumsi Gizi
270;3671;Kota Tangerang;Banten;2021;5.93;70.7;2268;12.53;96.27;128.75
271;3672;Kota Cilegon;Banten;2021;4.24;65.7;2231;10.02;80.81;113.69
272;3673;Kota Serang;Banten;2021;6.79;66.3;2289;11.27;73.36;109.26
273;3674;Kota Tangerang Selatan;Banten;2021;2.57;65.9;2122;12.34;88.39;119.31
274;5101;Kabupaten Jembrana;Bali;2021;5.06;68.9;2350;9.24;98.41;129.38
275;5102;Kabupaten Tabanan;Bali;2021;5.12;62.6;2226;10.35;91.74;121.02
276;5103;Kabupaten Badung;Bali;2021;2.62;63.2;2086;9.42;80.57;110.83
277;5104;Kabupaten Gianyar;Bali;2021;4.85;64.6;2323;10.12;99.63;128.77
278;5105;Kabupaten Klungkung;Bali;2021;5.64;61.1;2250;10.18;111.55;135.89
279;5106;Kabupaten Bangli;Bali;2021;5.09;61.6;2260;10.53;101.82;128.83
280;5107;Kabupaten Karangasem;Bali;2021;6.78;59.6;2216;9;85.91;114.82
281;5108;Kabupaten Buleleng;Bali;2021;6.12;61.9;2226;9.01;90.76;119.51
282;5171;Kota Denpasar;Bali;2021;2.96;63;2101;10.28;86.07;115.46
283;5201;Kabupaten Lombok Barat;Nusa Tenggara Barat;2021;14.47;70.6;2468;9.6;93.4;127.53
284;5202;Kabupaten Lombok Tengah;Nusa Tenggara Barat;2021;13.44;78;2567;9.7;126.7;156.96
285;5203;Kabupaten Lombok Timur;Nusa Tenggara Barat;2021;15.38;88.8;2968;11.7;149.9;183.77
286;5204;Kabupaten Sumbawa;Nusa Tenggara Barat;2021;13.91;67.7;2304;8.6;74.4;109.74
287;5205;Kabupaten Dompu;Nusa Tenggara Barat;2021;12.6;71.6;2190;6.2;85.2;117.41
288;5206;Kabupaten Bima;Nusa Tenggara Barat;2021;14.88;65.8;2187;6.5;66.7;101.11
289;5207;Kabupaten Sumbawa Barat;Nusa Tenggara Barat;2021;13.54;81.7;2470;8.8;95.5;132.98
290;5208;Kabupaten Lombok Utara;Nusa Tenggara Barat;2021;27.04;75.5;2479;9.3;102;135.96
291;5271;Kota Mataram;Nusa Tenggara Barat;2021;8.65;84.3;2507;9.7;99;137.36
292;5272;Kota Bima;Nusa Tenggara Barat;2021;8.88;71.6;2190;7.1;83.3;116.28
293;5312;Kabupaten Sumba Barat;Nusa Tenggara Timur;2021;28.39;52.7;1913;4.7;66.3;92.4
294;5311;Kabupaten Sumba Timur;Nusa Tenggara Timur;2021;29.68;57.4;2058;6.1;61.3;92.34
295;5301;Kabupaten Kupang;Nusa Tenggara Timur;2021;22.98;52.3;1938;8;63.9;91.89
296;5302;Kabupaten Timor Tengah Selatan;Nusa Tenggara Timur;2021;26.64;56;1884;6.3;101.2;120.75
297;5303;Kabupaten Timor Tengah Utara;Nusa Tenggara Timur;2021;22.62;57.4;2033;6.7;77.6;104.83
298;5304;Kabupaten Belu;Nusa Tenggara Timur;2021;15.68;56.8;2062;8;72.6;101.55
299;5305;Kabupaten Alor;Nusa Tenggara Timur;2021;21.09;56.2;1864;6.3;94.5;115.46
300;5313;Kabupaten Lembata;Nusa Tenggara Timur;2021;26.21;52.9;1871;8.4;96.4;116.55
301;5306;Kabupaten Flores Timur;Nusa Tenggara Timur;2021;11.14;53.8;1910;7.6;79.1;103.69
302;5307;Kabupaten Sikka;Nusa Tenggara Timur;2021;13.35;50.5;1846;5.5;72.3;95.79
303;5308;Kabupaten Ende;Nusa Tenggara Timur;2021;24.13;62.6;2176;6.6;98;123.92
304;5309;Kabupaten Ngada;Nusa Tenggara Timur;2021;12.58;64.6;2207;7.9;81;112.39
305;5310;Kabupaten Manggarai;Nusa Tenggara Timur;2021;20.48;67.3;2255;7;101.4;129.26
306;5314;Kabupaten Rote Ndao;Nusa Tenggara Timur;2021;28.08;53;1875;8.5;67.5;94.44
307;5315;Kabupaten Manggarai Barat;Nusa Tenggara Timur;2021;17.92;62.1;2144;6.9;83.4;112.28
308;5317;Kabupaten Sumba Tengah;Nusa Tenggara Timur;2021;34.27;53;1842;4.6;68.4;93.34
309;5318;Kabupaten Sumba Barat Daya;Nusa Tenggara Timur;2021;28.18;57.3;2041;4.5;88.6;112.53
310;5316;Kabupaten Nagekeo;Nusa Tenggara Timur;2021;12.91;59.6;1984;5.9;93.2;116.84
311;5319;Kabupaten Manggarai Timur;Nusa Tenggara Timur;2021;26.5;61.7;2234;6.2;82;111.74
312;5320;Kabupaten Sabu Raijua;Nusa Tenggara Timur;2021;30.13;62.3;2172;9.5;77.9;109.38
313;5321;Kabupaten Malaka;Nusa Tenggara Timur;2021;16.33;52.6;1847;8.2;74.2;99.04
314;5371;Kota Kupang;Nusa Tenggara Timur;2021;9.17;66.2;2091;9.3;90.1;119.28
315;6101;Kabupaten Sambas;Kalimantan Barat;2021;7.66;58.9;2064;8.56;65.4;97.02
316;6107;Kabupaten Bengkayang;Kalimantan Barat;2021;6.48;56.4;1962;9.17;83.9;109.48
317;6108;Kabupaten Landak;Kalimantan Barat;2021;10.99;57;2039;9.98;76.1;104.81
318;6102;Kabupaten Mempawah;Kalimantan Barat;2021;5.18;54.6;1837;9.61;61.4;90.35
319;6103;Kabupaten Sanggau;Kalimantan Barat;2021;4.55;56.9;1923;8.01;64.6;93.98
320;6104;Kabupaten Ketapang;Kalimantan Barat;2021;10.13;59.5;1927;0.29;66.9;93.89
321;6105;Kabupaten Sintang;Kalimantan Barat;2021;9.28;52.3;1836;9.4;73.2;98.49
322;6106;Kabupaten Kapuas Hulu;Kalimantan Barat;2021;8.93;52.2;1886;8.75;73.1;98.66
323;6109;Kabupaten Sekadau;Kalimantan Barat;2021;6.26;54.9;1952;8.75;72.1;99.58
324;6110;Kabupaten Melawai;Kalimantan Barat;2021;12.01;54.7;1995;10.39;68.6;97.88
325;6111;Kabupaten Kayong Utara;Kalimantan Barat;2021;9.33;63.5;2069;9.94;66.3;99.98
326;6112;Kabupaten Kubu Raya;Kalimantan Barat;2021;4.34;53.7;1872;9.82;50.9;82.39
327;6171;Kota Pontianak;Kalimantan Barat;2021;4.58;61;1906;10.44;68.3;99.06
328;6172;Kota Singkawang;Kalimantan Barat;2021;4.83;65.4;2073;9.34;70.7;103.89
329;6201;Kabupaten Kotawaringin Barat;Kalimantan Tengah;2021;3.95;72.3;2357;13.3;86.8;123.28
330;6202;Kabupaten Kotawaringin Timur;Kalimantan Tengah;2021;5.91;65.2;2217;11.1;80.8;113.75
331;6203;Kabupaten Kapuas;Kalimantan Tengah;2021;5.35;79.7;2419;1.7;96.2;129.61
332;6204;Kabupaten Barito Selatan;Kalimantan Tengah;2021;4.62;64.5;2317;12.4;59.6;98.72
333;6205;Kabupaten Barito Utara;Kalimantan Tengah;2021;5.61;57.4;2097;12.1;67;99.35
334;6208;Kabupaten Sukamara;Kalimantan Tengah;2021;3.66;70.9;2247;12.3;73.4;110.93
335;6209;Kabupaten Lamandau;Kalimantan Tengah;2021;3.56;70.9;2340;13.6;94.6;128.7
336;6207;Kabupaten Seruyan;Kalimantan Tengah;2021;7.22;66.2;2229;12.3;68.2;105
337;6206;Kabupaten Katingan;Kalimantan Tengah;2021;5.25;61.5;2147;10.9;65.9;100.11
338;6211;Kabupaten Pulang Pisau;Kalimantan Tengah;2021;4.24;65.9;2302;12.8;78.9;114.07
339;6210;Kabupaten Gunung Mas;Kalimantan Tengah;2021;5.35;60.7;2089;9;60;93.96
340;6213;Kabupaten Barito Timur;Kalimantan Tengah;2021;6.38;64.9;2245;12.3;59.3;97.84
341;6212;Kabupaten Murung Raya;Kalimantan Tengah;2021;6.15;52;1940;9.5;47.8;79.97
342;6271;Kota Palangka Raya;Kalimantan Tengah;2021;3.75;64.5;2034;11.1;82.1;112.56
343;6301;Kabupaten Tanah Laut;Kalimantan Selatan;2021;4.57;64.6;2238;11.69;71.94;107.15
344;6302;Kabupaten Kota Baru;Kalimantan Selatan;2021;4.86;66.7;2161;11.5;63.43;100.5
345;6303;Kabupaten Banjar;Kalimantan Selatan;2021;3.04;75.2;2483;10.79;57.25;102.02
346;6304;Kabupaten Barito Kuala;Kalimantan Selatan;2021;5.11;68.3;2442;11.73;57.35;99.46
347;6305;Kabupaten Tapin;Kalimantan Selatan;2021;3.6;74.2;2438;11.88;63.08;106.07
348;6306;Hulu Sungai Selatan;Kalimantan Selatan;2021;4.84;72.8;2372;9.52;55.76;98.35
349;6307;Hulu Sungai Tengah;Kalimantan Selatan;2021;6.18;70.4;2303;9.97;58.95;99.35
350;6308;Hulu Sungai Utara;Kalimantan Selatan;2021;6.83;64.4;2213;10.25;43.3;84.25
351;6309;Kabupaten Tabalong;Kalimantan Selatan;2021;6.27;66.1;2278;11.79;68.53;105.54
352;6310;Kabupaten Tanah Bumbu;Kalimantan Selatan;2021;4.82;66.5;2228;11.9;71.42;107.43
353;6311;Kabupaten Balangan;Kalimantan Selatan;2021;6.07;71.8;2451;11.55;62.18;104.5
354;6371;Kota Banjarmasin;Kalimantan Selatan;2021;4.89;70.1;2200;10.51;57.79;97.47
355;6372;Kota Banjar Baru;Kalimantan Selatan;2021;4.4;68.3;2156;11.4;73.16;108.49
356;6401;Kabupaten Paser;Kalimantan Timur;2021;9.73;64.3;2112;12;80.11;112.11
357;6407;Kabupaten Kutai Barat;Kalimantan Timur;2021;10.24;58.4;1990;11.92;63.24;95.64
358;6402;Kabupaten Kutai Kertanegara;Kalimantan Timur;2021;7.99;56.8;1933;11.28;65.15;95.68
359;6408;Kabupaten Kutai Timur;Kalimantan Timur;2021;9.81;64;2132;12.03;77.8;110.45
360;6403;Kabupaten Berau;Kalimantan Timur;2021;5.88;64.4;2096;11.98;77.68;110.11
361;6409;Kabupaten Penajam Paser Utara;Kalimantan Timur;2021;7.61;63.1;2135;13.32;78.23;110.95
362;6411;Kabupaten Mahakam Ulu;Kalimantan Timur;2021;11.9;57.3;2029;10.89;59.42;92.32
363;6471;Kota Balikpapan;Kalimantan Timur;2021;2.89;65.6;1991;11.18;86.9;116.24
364;6472;Kota Samarinda;Kalimantan Timur;2021;4.99;57.7;1822;10.84;63.72;93.58
365;6474;Kota Bontang;Kalimantan Timur;2021;4.62;68.9;2097;10.93;86.1;117.87
366;6502;Kabupaten Malinau;Kalimantan Utara;2021;7.3;55.3;1841;8.82;63.13;91.69
367;6501;Kabupaten Bulungan;Kalimantan Utara;2021;10.03;64.8;2061;10.19;77.89;109.38
368;6504;Kabupaten Tana Tidung;Kalimantan Utara;2021;5.15;62.1;1978;11.11;59.31;93.56
369;6503;Kabupaten Nunukan;Kalimantan Utara;2021;6.79;60.8;2055;9.59;56.3;91.01
370;6571;Kota Tarakan;Kalimantan Utara;2021;6.71;71.8;2046;9.85;64.11;101.09
371;7101;Kabupaten Bolaang Mongondow;Sulawesi Utara;2021;19.08;61.4;2131;11.98;76.3;108.3
372;7102;Kabupaten Minahasa;Sulawesi Utara;2021;26.3;66.7;2126;11.33;70.81;105.75
373;7103;Kabupaten Kepulauan Sangihe;Sulawesi Utara;2021;14.55;56.9;1986;9.64;60.57;92.14
374;7104;Kabupaten Kepulauan Talaud;Sulawesi Utara;2021;8.37;54.6;1924;11.53;52.82;85.38
375;7105;Kabupaten Minahasa Selatan;Sulawesi Utara;2021;19.77;70.7;2339;13.22;87.23;122.8
376;7106;Kabupaten Minahasa Utara;Sulawesi Utara;2021;14.49;68.7;2212;13.34;72.59;109.51
377;7108;Kabupaten Bolaang Mongondow Utara;Sulawesi Utara;2021;6.53;60.2;2086;10.96;73.8;105.08
378;7109;Kabupaten Kep. Siau Tagulandang Biaro;Sulawesi Utara;2021;6;46.6;1787;11.89;52.65;80.97
379;7107;Kabupaten Minahasa Tenggara;Sulawesi Utara;2021;13.31;68.7;2249;12.16;72.47;109.37
380;7111;Kabupaten Bolaang Mongondow Selatan;Sulawesi Utara;2021;8.63;54.6;2055;12.34;72.86;102.47
381;7110;Kabupaten Bolaang Mongondow Timur;Sulawesi Utara;2021;4.47;62.3;2149;11.73;82.1;113.19
382;7171;Kota Manado;Sulawesi Utara;2021;26.78;61.4;1965;11.86;65.34;98.08
383;7172;Kota Bitung;Sulawesi Utara;2021;14.33;66.7;2191;12.74;74.91;110.11
384;7173;Kota Tomohon;Sulawesi Utara;2021;6.18;70.5;2218;11.55;73.86;110.55
385;7174;Kota Kotamobago;Sulawesi Utara;2021;7.56;61.7;2067;10.85;74.47;105.91
386;7207;Kabupaten Banggai Kepulauan;Sulawesi Tengah;2021;13.72;52.9;1960;8.63;64.16;92.77
387;7201;Kabupaten Banggai;Sulawesi Tengah;2021;7.83;57.1;1915;9.94;86.59;111.6
388;7206;Kabupaten Morowali;Sulawesi Tengah;2021;13.75;64.4;2153;10.63;68.04;102.79
389;7202;Kabupaten Poso;Sulawesi Tengah;2021;15.92;60;2204;10.01;78.3;109.36
390;7203;Kabupaten Donggala;Sulawesi Tengah;2021;16.73;54.1;2059;8.32;70.88;99.32
391;7204;Kabupaten Toli-Toli;Sulawesi Tengah;2021;13.51;49.8;1781;8.43;56.09;83.46
392;7205;Kabupaten Buol;Sulawesi Tengah;2021;14.06;47.3;1834;9.53;76.77;99.41
393;7208;Kabupaten Parigi Moutong;Sulawesi Tengah;2021;15.28;54.9;1958;7.86;79.59;105.08
394;7209;Kabupaten Tojo Una-Una;Sulawesi Tengah;2021;16.6;48.5;1850;9.42;61.47;88.21
395;7210;Kabupaten Sigi;Sulawesi Tengah;2021;13.05;60.2;2100;8.94;81.27;110.23
396;7211;Kabupaten Banggai Laut;Sulawesi Tengah;2021;14.17;56.8;2082;9.38;60.77;93.17
397;7212;Kabupaten Morowali Utara;Sulawesi Tengah;2021;13.9;69.1;2380;11.37;99.95;131.74
398;7271;Kota Palu;Sulawesi Tengah;2021;7.17;60.4;2042;9.83;79.75;108.85
399;7301;Kabupaten Selayar;Sulawesi Selatan;2021;12.45;62.8;2186;9.76;54.14;91.53
400;7302;Kabupaten Bulukumba;Sulawesi Selatan;2021;7.43;60.1;2183;10.2;95.11;122.18
401;7303;Kabupaten Bantaeng;Sulawesi Selatan;2021;9.41;61.9;2118;9.74;77.55;108.48
402;7304;Kabupaten Jeneponto;Sulawesi Selatan;2021;14.28;65.5;2280;9.08;80.91;113.86
403;7305;Kabupaten Takalar;Sulawesi Selatan;2021;8.25;61.4;2240;8.23;69.3;102.68
404;7306;Kabupaten Gowa;Sulawesi Selatan;2021;7.54;62.3;2110;8.43;73.87;105.23
405;7307;Kabupaten Sinjai;Sulawesi Selatan;2021;8.84;73.6;2369;9.14;114.23;143.45
406;7309;Kabupaten Maros;Sulawesi Selatan;2021;9.57;56.5;2022;8.76;70.07;99.35
407;7310;Kabupaten Pangkajene dan Kepulauan;Sulawesi Selatan;2021;14.28;70.6;2312;8.82;58.78;98.97
408;7311;Kabupaten Barru;Sulawesi Selatan;2021;8.68;61.5;2140;9.81;59.67;94.84
409;7308;Kabupaten Bone;Sulawesi Selatan;2021;10.52;58.5;2099;8.65;62.59;95.11
410;7312;Kabupaten Soppeng;Sulawesi Selatan;2021;7.53;58.7;2011;9.27;64.1;95.65
411;7313;Kabupaten Wajo;Sulawesi Selatan;2021;6.46;63.2;2186;10.6;68.21;102.81
412;7314;Kabupaten Sidenreng Rappang;Sulawesi Selatan;2021;5.04;71.6;2344;9.29;69.97;108.46
413;7315;Kabupaten Pinrang;Sulawesi Selatan;2021;8.81;56.6;1935;8.32;55.77;87.31
414;7316;Kabupaten Enrekang;Sulawesi Selatan;2021;12.47;60.5;2070;8.69;67.21;99.12
415;7317;Kabupaten Luwu;Sulawesi Selatan;2021;12.53;60.7;2113;7.55;74.06;104.49
416;7318;Kabupaten Tana Toraja;Sulawesi Selatan;2021;12.27;59.7;2012;6.98;65.48;96.24
417;7322;Kabupaten Luwu Utara;Sulawesi Selatan;2021;13.59;65;2128;8.58;81.26;112.16
418;7324;Kabupaten Luwu Timur;Sulawesi Selatan;2021;6.94;65.8;2170;9.17;81.6;113.38
419;7326;Kabupaten Toraja Utara;Sulawesi Selatan;2021;11.99;60.1;2136;6.92;69.71;100.93
420;7371;Kota Makasar;Sulawesi Selatan;2021;4.82;67.5;2145;9.49;75.01;108.79
421;7372;Kota Pare-Pare;Sulawesi Selatan;2021;5.4;68.8;2233;10.29;68.11;105.19
422;7373;Kota Palopo;Sulawesi Selatan;2021;8.14;60;1986;6.56;72.58;101.39
423;7404;Kabupaten Buton;Sulawesi Tenggara;2021;13.92;57.3;1974;6.02;71.45;99.19
424;7403;Kabupaten Muna;Sulawesi Tenggara;2021;13.54;60.2;1995;6.17;86.5;112.12
425;7402;Kabupaten Konawe;Sulawesi Tenggara;2021;13.03;56.6;1929;6.63;80.18;105.4
426;7401;Kabupaten Kolaka;Sulawesi Tenggara;2021;12.43;66;2243;8.68;87.18;118.33
427;7405;Kabupaten Konawe Selatan;Sulawesi Tenggara;2021;11.34;62.5;2124;7.77;89.7;117.38
428;7406;Kabupaten Bombana;Sulawesi Tenggara;2021;10.76;57.8;1998;7.65;61.08;92.26
429;7407;Kabupaten Wakatobi;Sulawesi Tenggara;2021;14.91;59.6;2009;7.65;55.18;88.5
430;7408;Kabupaten Kolaka Utara;Sulawesi Tenggara;2021;13.79;64.1;2280;8.84;79.54;112.2
431;7410;Kabupaten Buton Utara;Sulawesi Tenggara;2021;14.89;58.2;2119;7.9;57.17;90.76
432;7409;Kabupaten Konawe Utara;Sulawesi Tenggara;2021;14.32;61.8;2118;7.36;67.35;99.72
433;7411;Kabupaten Kolaka Timur;Sulawesi Tenggara;2021;14.35;57.4;2063;8.68;87.6;113.57
434;7412;Kabupaten Konawe Kepulauan;Sulawesi Tenggara;2021;17.81;50.3;1770;6.13;71.13;94.25
435;7413;Kabupaten Muna Barat;Sulawesi Tenggara;2021;13.96;60.3;2053;5.74;84.74;111.25
436;7414;Kabupaten Buton Tengah;Sulawesi Tenggara;2021;15.8;60.8;1935;5.4;81.8;107.81
437;7415;Kabupaten Buton Selatan;Sulawesi Tenggara;2021;14.62;55.7;1964;5.21;69.16;96.43
438;7471;Kota Kendari;Sulawesi Tenggara;2021;4.87;69.1;2034;7.52;93.62;121.8
439;7472;Kota Bau-Bau;Sulawesi Tenggara;2021;7.78;55.6;1837;6.84;68.84;95.42
440;7502;Kabupaten Boalemo;Gorontalo;2021;19;57.7;2083;12.2;70.1;101.74
441;7501;Kabupaten Gorontalo;Gorontalo;2021;17.89;61.5;2088;9.9;72;103.81
442;7504;Kabupaten Pohuwato;Gorontalo;2021;18.08;56.1;2014;12;61.5;93.73
443;7503;Kabupaten Bone Bolango;Gorontalo;2021;16.3;53.5;1875;10.5;68.4;96.06
444;7505;Kabupaten Gorontalo Utara;Gorontalo;2021;17.23;55.9;2099;12.7;59.5;93.27
445;7571;Kota Gorontalo;Gorontalo;2021;5.93;54.5;1864;11.8;68.5;96.87
446;7605;Kabupaten Majene;Sulawesi Barat;2021;14.34;60.2;2162;9.69;52.02;88.66
447;7604;Kabupaten Polewali Mandar;Sulawesi Barat;2021;15.68;59.9;2169;7.92;64.32;97.43
448;7603;Kabupaten Mamasa;Sulawesi Barat;2021;13.77;64.7;2150;8.83;58.38;94.77
449;7602;Kabupaten Mamuju;Sulawesi Barat;2021;7.46;51.2;1847;8.98;62.82;90.05
450;7601;Kabupaten Mamuju Utara;Sulawesi Barat;2021;4.77;59.6;2167;10.05;80.42;110.47
451;7606;Kabupaten Mamuju Tengah;Sulawesi Barat;2021;7.13;60.5;2186;9.7;88.16;116.83
452;8103;Kabupaten Kepulauan Tanimbar;Maluku;2021;27.27;45.3;1679;8.21;45.01;72.12
453;8102;Kabupaten Maluku Tenggara;Maluku;2021;22.73;49.1;1748;7.69;62.36;87.4
454;8101;Kabupaten Maluku Tengah;Maluku;2021;19.84;54.9;1936;9.96;64.18;93.77
455;8104;Kabupaten Buru;Maluku;2021;17.28;52.8;1875;10.62;69.04;96.33
456;8107;Kabupaten Kepulauan Aru;Maluku;2021;26.53;44.4;1716;7.94;43.54;70.94
457;8106;Kabupaten Seram Bagian Barat;Maluku;2021;25.27;45.7;1810;9.17;62.75;87.64
458;8105;Kabupaten Seram Bagian Timur;Maluku;2021;23.25;51.4;1794;9.34;53.61;82.62
459;8108;Kabupaten Maluku Barat Daya;Maluku;2021;29.55;54.2;1746;6.78;61.57;88.33
460;8109;Kabupaten Buru Selatan;Maluku;2021;15.89;44.9;1821;7.95;56.33;82.07
461;8171;Kota Ambon;Maluku;2021;5.02;62.7;2040;9.5;75.41;106.22
462;8172;Kota Tual;Maluku;2021;23.26;49.2;1645;5.8;46.88;73.75
463;8201;Kabupaten Halmahera Barat;Maluku Utara;2021;10.59;48;1826;9.51;68.48;93.2
464;8202;Kabupaten Halmahera Tengah;Maluku Utara;2021;7.65;50.4;1701;8.86;69.25;93.12
465;8205;Kabupaten Kepulauan Sula;Maluku Utara;2021;8.36;47.2;1751;10.26;44.76;74.14
466;8204;Kabupaten Halmahera Selatan;Maluku Utara;2021;12.23;49.8;1790;9.54;78.08;100.88
467;8203;Kabupaten Halmahera Utara;Maluku Utara;2021;10.15;51.5;1916;12.25;63.95;92.97
468;8206;Kabupaten Halmahera Timur;Maluku Utara;2021;14.58;49.8;1855;13.19;70.02;96.72
469;8207;Kabupaten Pulau Morotai;Maluku Utara;2021;4.45;48.4;1893;14.4;70.79;97.64
470;8208;Kabupaten Pulau Taliabu;Maluku Utara;2021;4.05;47.5;1745;9.45;49.28;77.37
471;8271;Kota Ternate;Maluku Utara;2021;8.45;60.3;1983;10.92;66.44;98.36
472;8272;Kota Tidore Kepulauan;Maluku Utara;2021;6.64;52.6;1935;10.26;77.9;103.57
473;9203;Kabupaten Fak-Fak;Papua Barat;2021;22.86;63.6;1972;10.97;71.08;103.05
474;9208;Kabupaten Kaimana;Papua Barat;2021;16.04;52.3;1741;10.77;77.29;101.14
475;9207;Kabupaten Teluk Wondama;Papua Barat;2021;31.61;48.5;1866;11.84;73.28;98.36
476;9206;Kabupaten Teluk Bintuni;Papua Barat;2021;29.79;53.8;1823;10.62;71.21;97.83
477;9202;Kabupaten Manokwari;Papua Barat;2021;20.56;53.9;1932;11.67;75.29;102.54
478;9204;Kabupaten Sorong Selatan;Papua Barat;2021;29.3;43;1786;8.13;74.84;95.31
479;9201;Kabupaten Sorong;Papua Barat;2021;34.7;57.1;2003;13.45;86.72;113.92
480;9205;Kabupaten Raja Ampat;Papua Barat;2021;-;55.2;1931;12.56;59.39;91.11
481;9209;Kabupaten Tambrauw;Papua Barat;2021;17.5;43.6;1760;9.94;69.71;91.98
482;9210;Kabupaten Maybrat;Papua Barat;2021;27.78;50.9;1847;11.75;85.09;108.1
483;9211;Kabupaten Manokwari Selatan;Papua Barat;2021;18.55;49.7;1838;11.91;80.6;104.17
484;9212;Kabupaten Pegunungan Arfak;Papua Barat;2021;31.39;39.2;1824;11.46;111.55;123.77
485;9271;Kota Sorong;Papua Barat;2021;33.86;60.3;1971;12.75;75.36;105.77
486;9101;Kabupaten Merauke;Papua;2021;15.35;63.9;1984;12.48;88.47;117.23
487;9102;Kabupaten Jayawijaya;Papua;2021;37.09;37.3;1774;7.21;76.34;93.88
488;9103;Kabupaten Jayapura;Papua;2021;12.13;49.7;1881;12.06;72.15;98.17
489;9104;Kabupaten Nabire;Papua;2021;23.83;64;2154;13.93;95.92;125.32
490;9105;Kabupaten Kepulauan Yapen;Papua;2021;26.09;51.8;1945;15.22;78.27;105.5
491;9106;Kabupaten Biak Namfor;Papua;2021;24.45;54.6;1834;10.34;60.46;89.86
492;9108;Kabupaten Paniai;Papua;2021;36.59;38.8;1631;11.07;71;90.25
493;9107;Kabupaten Puncak Jaya;Papua;2021;36;31.8;1527;14.35;86;99.32
494;9109;Kabupaten Mimika;Papua;2021;14.17;61;1973;12;69.34;101.14
495;9116;Kabupaten Boven Digoel;Papua;2021;19.9;48.2;1777;10.37;62.68;88.61
496;9117;Kabupaten Mappi;Papua;2021;26.05;33.4;1560;6.69;25.57;50.94
497;9118;Kabupaten Asmat;Papua;2021;24.83;50.1;1975;8.63;50.42;81.33
498;9113;Kabupaten Yahukimo;Papua;2021;37.64;30.7;1645;3.8;187;173.94
499;9112;Kabupaten Pegunungan Bintang;Papua;2021;30.46;29.5;1738;4.16;82;93.84
500;9114;Kabupaten Tolikara;Papua;2021;32.6;37;1845;10.34;146;149.26
501;9110;Kabupaten Sarmi;Papua;2021;13.84;50.1;1924;9.84;54.26;84.19
502;9111;Kabupaten Keerom;Papua;2021;16;46.1;1837;10.48;61.18;87.35
503;9115;Kabupaten Waropen;Papua;2021;29.85;52.9;2125;17.27;58.57;93.41
504;9119;Kabupaten Supiori;Papua;2021;37.91;79.7;2315;10.84;86.16;124.18
505;9120;Kabupaten Mamberamo Raya;Papua;2021;28.78;48.1;1965;7.57;81.17;103.74
506;9124;Kabupaten Nduga;Papua;2021;37.18;43.4;2379;6.32;159.66;166.27
507;9123;Kabupaten Lanny Jaya;Papua;2021;38.73;42.3;2625;8.11;144.26;157.27
508;9121;Kabupaten Mamberamo Tengah;Papua;2021;36.76;31.4;2019;3.4;111.06;119.57
509;9122;Kabupaten Yalimo;Papua;2021;33.25;43.8;2043;7.61;169.61;171.02
510;9125;Kabupaten Puncak;Papua;2021;36.26;23.3;1717;15.01;46;67.65
511;9126;Kabupaten Dogiyai;Papua;2021;28.81;29.5;1252;10.56;58.332;72.89
512;9127;Kabupaten Intan Jaya;Papua;2021;41.66;36;1578;10.72;96;107.76
513;9128;Kabupaten Deiyai;Papua;2021;40.59;38.3;1610;11.48;90;104.62
514;9171;Kota Jayapura;Papua;2021;11.39;56.3;1858;10.8;77.33;103.89
515;1109;Kabupaten Simeulue;Aceh;2022;18.37;59.3;2132;10.6;51;87.56
516;1110;Kabupaten Aceh Singkil;Aceh;2022;19.18;60.4;2028;11.7;110.1;132.74
517;1101;Kabupaten Aceh Selatan;Aceh;2022;12.43;56.2;2031;13.24;71.6;102.17
518;1102;Kabupaten Aceh Tenggara;Aceh;2022;12.83;63.3;2057;9.5;73;104.77
519;1103;Kabupaten Aceh Timur;Aceh;2022;13.91;63.7;2120;10;83.1;113.54
520;1104;Kabupaten Aceh Tengah;Aceh;2022;14.5;61.1;2117;10.7;108.9;132.65
521;1105;Kabupaten Aceh Barat;Aceh;2022;17.93;68.8;2215;10.7;101.6;130.91
522;1106;Kabupaten Aceh Besar;Aceh;2022;13.38;55.7;1826;7.7;60.5;89.24
523;1107;Kabupaten Pidie;Aceh;2022;18.79;60.6;2210;11.8;71.4;105
524;1111;Kabupaten Bireuen;Aceh;2022;12.51;64.6;2137;8.3;85.8;115.49
525;1108;Kabupaten Aceh Utara;Aceh;2022;16.86;55.7;1935;90.6;63.5;123.4
526;1112;Kabupaten Aceh Barat Daya;Aceh;2022;15.44;55.7;1986;10.2;60.5;91.85
527;1113;Kabupaten Gayo Lues;Aceh;2022;18.87;70.4;2460;12.2;91.3;126.72
528;1116;Kabupaten Aceh Tamiang;Aceh;2022;12.61;56.6;1939;12;73.3;102.2
529;1115;Kabupaten Nagan Raya;Aceh;2022;17.38;74.5;2505;12.7;104.5;139.05
530;1114;Kabupaten Aceh Jaya;Aceh;2022;12.51;64.6;2190;8.7;78.1;110.28
531;1117;Kabupaten Bener Meriah;Aceh;2022;18.39;69.3;2425;12.6;118.9;147.32
532;1118;Kabupaten Pidie Jaya;Aceh;2022;18.45;69.9;2357;9.6;89.4;123.02
533;1171;Kota Banda Aceh;Aceh;2022;7.13;60.7;1885;11.5;77.3;106.04
